title,comment_text,author_id,votes_up,votes_down,votes_count,votes_point,comment_count,parent_id,comment_thread_id,course_id,text_type,update_timestamp
,"Hi Chi Samuel, welcome to the course. Happy learning.",12639383,0,0,0,0,,,59edb1db4ed74909d00024cb,Microsoft+DAT222x+4T2017,Comment,2017-10-23T11:49:01.816Z
G'day Mates!,"Hi,
This is Ram, joining from Sydney. I am a BI Analyst and an aspiring Data Scientist.
I really loved the Microsoft courses so far and hope this course will help me further in understand statistics.
All the best to everyone enrolled!!",16335226,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-15T02:47:18.400Z
M2L5HW3,"Can you please explain who you calculate the probability that the cab is actually green? I keep getting 80% using conditional probability, but that's not correct. ",13255255,0,0,0,0,4.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-16T02:51:02.812Z
Introducing me,Good morning everyone from Switzerland. IΓÇÖm Mar and I hope we all enjoy learning statistic.,16721064,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-14T06:38:28.191Z
Adapt 246,I think the answer is wrong.It should be 0.01 instead of 0.001.Staff can you please check?,3974657,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-14T06:20:32.668Z
hi,I am Pankaj from New Delhi,16708040,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-14T01:27:51.506Z
Hello!!!,My name is Monika.,16618011,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-14T01:28:30.190Z
"Hi, I┬┤m Enmanuel","Good morning everyone, sorry for my greeting this afternoon, but I was and I am very interested in this course, regards
",8692847,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T09:02:20.820Z
Skill improvement ,"Hello everyone,i'm taking this course to improve my data analysis skills",8282631,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T01:15:02.197Z
Adapt 230 How To Solve it?,"I got stuck with Adapt 230 question
""If we toss a fair six-sided die 400 times, what is the probability that the total number of dots is at least 1450?""
Can somebody give me a clue? I think I should use Bionamial.Dist.Range but maybe I am missing something... HELP! ",11605428,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T02:29:02.203Z
Help needed from Staff and peers,"Hi Mr./Ms. Staff and Everybody,

I am having some confusion about the logic on the lecture "" *Xbar and Mean, Variance, and Standard Deviation of Xbar .""*

* Assume that we take m **samples** from the population.
* each sample has the size of n **observations**
- We got Xbar_j = sum(xi)/n_j  with i runs from 1 to n while j is a constant in the range of 1 to m.
- Var_j = (1/n)*sum{(xi-Xbar_j)^2}  with i runs from 1 to n
- std dev_j =sqrt(Var_j)
- The population's mean = E(Xbar) = sum(Xbar_j)/m   with j runs from 1 to m.
- Variance of Xbar: (1/m)*sum{(Xbar_j - E(Xbar))^2} with j runs from 1 to m
- Std error: sqrt(Variance of Xbar)

===> SO how can SE = std_dev/sqrt(n)??????

I think there was a mistaken between samples and observations, but I cannot visualize it out.

I hope someone can help me with this, and Thank you!
",13340704,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T21:21:05.856Z
Homework Files,Homework accounts for 20 percent of assessment. So where do we upload the files?,14772086,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T02:37:44.870Z
Adapt 191,"There is something wrong with this question:

>  ""...what is the probability that a #16 seed will beat a #1 seed
> **between** at least once"".

and it's also seems the answers doesn't belong to this question.",10338572,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T02:52:58.443Z
,"I am a little fuzzy on what you are saying, although I understand that you are saying both questions use bayes rule. I should say that I am asking these questions because I am not clear on what is explained in the lecture. The lecture https://youtu.be/NXcPo9S_nMc says that you are working a bayes theorem problem by doing the law of total probability, so I did that for both of these problems and could not get a matching solution. ![bayes_hw][1]

Maybe you could help me better if you can see what I am doing. The image is the probabilities I think you might be talking about? So what is my next step in solving this problem?


  [1]: https://edxuploads.s3.amazonaws.com/1509606431177903.jpg",13683305,0,0,0,0,,,59f6aeffbc04a609dd002a52,Microsoft+DAT222x+4T2017,Comment,2017-11-02T07:09:56.618Z
,Welcome to the course. Happy learning!,16524953,0,0,0,0,,,59fab39a50ef2209ff002e42,Microsoft+DAT222x+4T2017,Comment,2017-11-02T05:58:21.761Z
,Welcome to the course. Happy learning!,16524953,0,0,0,0,,,59faa2cc4ed74909f1002cf8,Microsoft+DAT222x+4T2017,Comment,2017-11-02T05:34:26.841Z
,"Hello. I am Sushree Sangeeta from India , a Ph.D in Ecology and Environmental Sciences would love to learn many aspects of MS Excel as I too want to expertise in statistics which is very important for evaluating the nature and ecosystem.
",16652628,0,0,0,0,,,59fa0593bc04a60a07002c6f,Microsoft+DAT222x+4T2017,Comment,2017-11-02T03:58:10.141Z
,"Hi mysurn,

You assumed that the probability of B2 = 5/9, which is wrong. The sample space if you drew a blue ball on the 2nd draw is {BB, RB} so P(B2) is 5/9 or 6/9 depending on the first draw results. 

Therefore, P(B2) = P(BB) + P(RB) = 6/10*5/9+4/10*6/9 = 3/5. 
Hence P(BB|B2) = (6/10*5/9)/(3/5) = 5/9",16341707,0,0,0,0,,,59fa28babc04a609fe002e06,Microsoft+DAT222x+4T2017,Comment,2017-11-03T05:52:54.047Z
,"Hi Istvanbatori,

 Percentage is  continuous. Discrete values can only be hole numbers, whereas with continuous variable they can go into decimal places. 
",16524953,0,0,0,0,,,59fa1018bc04a60a13002ad4,Microsoft+DAT222x+4T2017,Comment,2017-11-02T03:08:34.860Z
,"Hi Yusufkivanc,

We can use two sample z-test when there are big difference between number of large groups. A two sample z-test is used when you have large sample sizes n or sample sizes greater than 30 from each of the populations. In your case, 40 and 50000, they are all greater than 30, so the difference between sample sizes will not affect the result.",16524953,0,0,0,0,,,59fa452fbc04a60a25002c0e,Microsoft+DAT222x+4T2017,Comment,2017-11-02T02:37:55.969Z
,"Hi Myusrn, we have total of 10 balls, so for placing one blue ball is having the probability of 6/10. Know if placing the another ball is blue and it is said its without replacement then we remain with 9 ball out of 10 as we already placed one ball. So for the placing another ball gives the probability of 5/9. Hope this helps you.",12639383,0,0,0,0,,,59fa28babc04a609fe002e06,Microsoft+DAT222x+4T2017,Comment,2017-11-02T01:36:52.332Z
,"Hi Myusrn,

When A and B are not independent of each other, if you want to calculate P(A and B), it becomes conditional probability. You can choose two methods to calculate the probability. One way, calculating the probability of A occurring in the case of B occurring, P(A and B)=P(A|B)=P(AB)/P(B). Another way, calculating the probability of B occurring in the case of A occurring, P(A and B)=P(B|A)=P(AB)/P(A).",16524953,0,0,0,0,,59f84482bc04a609d7002af4,59f75a23bc04a60a28002a75,Microsoft+DAT222x+4T2017,Comment,2017-11-02T01:33:50.363Z
,"Hi, welcome to the course. Happy learning.",12639383,0,0,0,0,,,59edbc554ed74909f400249f,Microsoft+DAT222x+4T2017,Comment,2017-10-23T11:48:02.372Z
,"Hi Banyon, I understand your confusion.
The trick is in the word ""natural"". Ordinal = it has a natural order of things.
Your preference belongs to you. It's not inherent in the food chain itself. Whereas with school type, for example, there is general consensus which school is higher.

So: food chains are, by themselves, just different brands without any natural order between them. The order is only created in your taste buds.

Hope this helps.",13103099,0,0,0,0,,,59ecb17e50ef2209ed002378,Microsoft+DAT222x+4T2017,Comment,2017-10-23T11:38:46.419Z
,"Here's the steps I took:

 1. Select all data & format as table (I do that as a habit) 
 2. Change the numbers format from % to numbers
 3. Create new columns for each stock with formula: =[IBM]+1 (if you format as table, you no longer refer to cells, but to column names, that appear automatically like this in your formula if you click on the cell in that column). Same for other stock listings
 4. Create bottom row under the new columns with formula: =GEOMEAN([IBM+1] - 1)
 5. Copy-paste this formula to other stock listing columns

You don't have to format as table, do everything with formulas, calculate all CAGR, etc, but if you work like this, you can later handle large data sets, which is the whole purpose of this course anyway. So why not start building good habits from day 1 onwards?",13103099,0,0,0,0,,,59ecec2150ef2209ff0024fb,Microsoft+DAT222x+4T2017,Comment,2017-11-15T06:51:56.858Z
,"Hi Hupaba,

We have tried module 1 quiz and module 2 quiz, they work well at my side, please try to open the module 1 quiz from about page again, like below:
![dsd][1]
![daaa][2]


The links you provided is not correct, please click [here][3] to review.


  [1]: https://edxuploads.s3.amazonaws.com/15087518908259458.png
  [2]: https://edxuploads.s3.amazonaws.com/1508751910328816.png
  [3]: https://courses.edx.org/courses/course-v1:Microsoft+DAT222x+4T2017/courseware/5bc836d5d8864b2ca446e7536a8208e0/b243e5f268814cf5aa0683d6e19f0ea8/?activate_block_id=block-v1:Microsoft%2bDAT222x%2b4T2017%2btype@sequential%2bblock@b243e5f268814cf5aa0683d6e19f0ea8",9080860,0,0,0,0,,59ea9590bc04a609dd002319,59e8c9b5bc04a60a1d002173,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:48:04.730Z
,"Hi there,

Create a pivot table using the color as the rows and values (count of colors). Then, sort the pivot table in descending order. You should see something like this:
![Pivot by color][1]. From there, select a cell in he pivot table and generate clustered column (bar) graph. You should see what you're after.


  [1]: https://edxuploads.s3.amazonaws.com/1501175844973742.jpg",9080860,0,0,0,0,,,59e9e1f750ef2209e90021ef,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:39:26.948Z
,"Hi all,

Please click the link below to find the file.

  https://courses.edx.org/courses/course-v1:Microsoft+DAT222x+4T2017/courseware/1b9b2e193ca94949af4f7fac2cd224ee/c9bab3900a394d0e8f5a120be7283a29/ ",9080860,0,0,0,0,,59eb5eb9bc04a60a1600219b,59e698bd4ed74909dc0020e5,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:33:22.891Z
,"Hi, you can try to go to File > Options > Add-ins . Then Selects Analysis ToolPak under Active Application add-ins and select Go > click Go.

![addins][1]


  [1]: https://edxuploads.s3.amazonaws.com/1506323015910268.png",9080860,0,0,0,0,,,59eb84da50ef220a080022fe,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:28:52.997Z
,"Hi, the question is based on the visualization and in this question only charts are there and where there is data we will share the data.",12639383,0,0,0,0,,59fa3a3350ef220a11002d60,59ef45ed4ed74909ca0025f1,Microsoft+DAT222x+4T2017,Comment,2017-11-02T01:33:22.136Z
,"Hi Jorge, welcome to the course. Happy learning.",12639383,0,0,0,0,,,59fa722ebc04a60a04002d51,Microsoft+DAT222x+4T2017,Comment,2017-11-02T01:19:09.266Z
,"No, its a response bias as respondents may or may not give the proper responses.",12639383,0,0,0,0,,59f736f550ef2209e4002ab1,59f5c695bc04a60a2800297c,Microsoft+DAT222x+4T2017,Comment,2017-11-02T01:18:07.796Z
,Welcome to the course. Happy learning!,16524953,0,0,0,0,,,59fa0593bc04a60a07002c6f,Microsoft+DAT222x+4T2017,Comment,2017-11-02T00:56:42.106Z
,Welcome to the course. Happy learning!,16524953,0,0,0,0,,,59fa14afbc04a609ed002dd8,Microsoft+DAT222x+4T2017,Comment,2017-11-02T00:56:33.040Z
,Welcome to the course. Happy learning!,16524953,0,0,0,0,,,59fa27cbbc04a609fe002e03,Microsoft+DAT222x+4T2017,Comment,2017-11-02T00:55:24.083Z
,@JSmith-Lex and @winston3453 thanks for response on this.  So is there probability math for calculating P(A and B) when A and B not independent events similar to the probability math we have for P(A or B) when they are not independent events?  If not then is this a case where one has to arrive at value of P(A and B) through other means?,13739955,0,0,0,0,,59f84482bc04a609d7002af4,59f75a23bc04a60a28002a75,Microsoft+DAT222x+4T2017,Comment,2017-11-01T22:03:30.359Z
,"Hi Anne, Thanks for the response.  Your pictures make the answer to the questions obvious, which I guess was the intent of the questions.  I'm running Linux Mint, and using a variant of Office, so I will never be able to construct plots like yours.  What I'm trying to learn is how to manipulate data to be able to answer questions like yours which are asked of me.  Normally I would do this by constructing a pivot table (which my system permits, and perhaps making a chart from the pivot table.  Up to now, you have given us the data that I can use to do this, but the Excel 2016 sheet with blanks in it isn't very useful from my perspective.  I haven't had a chance to get to the quizzes yet, but I'm hoping that you supply data instead of charts when I'm asked questions in quizzes.",2556761,1,0,1,1,,,59ef45ed4ed74909ca0025f1,Microsoft+DAT222x+4T2017,Comment,2017-11-01T21:18:43.358Z
,you're welcom,16649559,0,0,0,0,,,59fa27cbbc04a609fe002e03,Microsoft+DAT222x+4T2017,Comment,2017-11-01T20:23:59.357Z
,"Haswa,  Thank you!  This helps.  I actually decided to just go and create my own small set of data to see where everything landed.  The dividing number ends up in the lower bin, as you said.  In some of the examples they gave on the video they were describing ranges of discrete data, as in Liberty's first video where they are showing bins of Widget Sales (I'm assuming they are not selling portions of widgets!) So I was confused.  But I get it now!  Thanks for your help! :)",14237707,0,0,0,0,,59f0a58850ef2209fc00271a,59efe8d54ed74909c70026c8,Microsoft+DAT222x+4T2017,Comment,2017-10-25T18:08:24.358Z
,"Okey i will try explain this as i understand,
when you say the the first bin is [55,65] the second is [65,75] we have here an issue as we are dealing with a continuous data! so the really accurate form is to say [55,65] and [**65.0000000001**, 75] and this would be really confusing to write so we consider that 65 is a mid-line point between  the two bins and it would not change the presentation of the histogram that much! as it's a continuous data made up of infinite numbers in the interval! so 65 can be considered with both bins :) ",9753999,0,0,0,0,,59f0a58850ef2209fc00271a,59efe8d54ed74909c70026c8,Microsoft+DAT222x+4T2017,Comment,2017-10-25T17:18:02.979Z
Calrification Needed: Adapt 419,"A company has been accused of discriminating in their hiring practices based on race. In the table below, the number of qualified applicants hired and not hired are provided by race.You are testing to determine if hiring and race are independent. For ╬▒ = 0.05, what would you conclude?
CHISQ.DIST = 0.002822459
CHISQ.TEST = 0.437919625

A) Fail to reject the hypothesis of independence, meaning that there is a relationship between hiring and race. (marked wrong)

B) Fail to reject the hypothesis of independence, meaning that there is NO relationship between hiring and race. (marked right)

why A is not right ?",14579234,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-14T11:13:25.947Z
Adapt 274,How do you find the standard error for this problem?,14746753,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-17T09:18:28.564Z
suleyman,Hello everybody,15263036,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T01:20:19.480Z
Excel Trial Version,I downloaded the excel trial for a different EdX course and the trial expired. It doesn't appear possible to use the key and do another trial run. How is this course accessible for people who already used a trial version of excel for a previous course?,13208047,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T01:43:40.731Z
introduction ,hello I'm taking this cause to help me with computer science.,14444118,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T01:46:47.192Z
"Video on ""confidence interval example""",The result stated by Liberty is different from the number shown on the video.  Which is correct?,2556761,0,0,0,0,3.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-20T06:48:03.363Z
Colin living in the Philippines - Hi everybody,"Im doing the course to retouch my statistics as it has been a while.

Best to everybody partaking",9611005,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T01:47:23.405Z
Warm greetings,"Hello everyone! I am Aishwarya from India. I'm a 23 year old finance student,  I think having good knowledge about statistics, data analysis and especially Microsoft Excel, is very essential for a finance student and that is what brings me here! ",16752731,1,0,1,1,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T01:48:03.918Z
Denis YAO,"I everyone;
My name is Denis. I'm a software enginneer and i want to have basic understanding of statitics. And i think i'm on th├⌐ right place.",15975685,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T01:48:11.853Z
M4L2HW1,"I know the formulas to calculate xbar, xbar mean, xbar var etc, but I think I am getting the probabilities of the chip numbers drawn wrong. What am I doing wrong here?
Isn't the probability 1/26?
1,1
1,2...1,5
2,1
2,2...2,5
![homework spreadsheet][1]


  [1]: https://edxuploads.s3.amazonaws.com/15103197482916079.png",14746753,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-14T10:44:50.735Z
Wrong Grade on Module 1 Quiz,"Hey everyone.

I've answered the Module 1 quiz with 10/14 questions right (71.429%) and the grade that shows on my progress is 64.29%.

Thank you in advance.",7898110,0,0,0,0,7.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-17T01:11:16.217Z
M4L1HW1,"The Homework question is:

In 2016, SurveyMonkey and NBC administered web surveys to determine the preferences of voters in each state. Suppose 10,000 voters responded in each state.
Would the preferences obtained from the survey reflect the preferences of all voters in the state? If not, what type of bias has occurred?

 - The sampling plan is not biased.
 - Response bias (correct)  
 - Selection bias   
 - Publication bias

You guys stated ""Response bias"" as correct, which obviously is, but isn┬┤t ""Selection Bias"" also correct?

In the Video, Liberty stated the Problem with a phone survey, as a ""Selection Bias"", because you can only reach people who have a phone. The question states that it┬┤s a web survey, so you can only get people to participate who have internet access.

You should allow both answers, because in my opinion, they are equally correct, or even mark 2 answers for this question as mandatory.

Thanks in advance.",15819938,1,0,1,1,3.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-14T02:17:40.685Z
,"Hi, 

Welcome to this course, hope you enjoy it and learn more!",9080860,0,0,0,0,,,59eb943a50ef2209ff00246e,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:24:27.125Z
,"Hi, 

Welcome to this course, hope you enjoy it and learn more!",9080860,0,0,0,0,,,59eba56f50ef220a0e002398,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:24:18.424Z
,"Hi, 

Welcome to this course, hope you enjoy it and learn more!",9080860,0,0,0,0,,,59ebb12fbc04a609e0002315,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:24:14.994Z
,"Hi, 

Welcome to this course, hope you enjoy it and learn more!",9080860,0,0,0,0,,,59ebbda750ef220a26002420,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:24:08.312Z
,"Hi, 

Welcome to this course, hope you enjoy it and learn more!",9080860,0,0,0,0,,,59ebb4964ed74909f4002392,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:24:05.164Z
,"Hi jaqo59,

Welcome to this course, hope you enjoy it.",9080860,0,0,0,0,,,59ebc1054ed74909c00023af,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:22:51.677Z
,"Hi, Dady. Hope you can learn a lot from it. Good luck.",9081915,0,0,0,0,,,59eacaeabc04a609f0002217,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:21:55.008Z
,"Hi John, welcome to the course. Good luck!
",9081915,0,0,0,0,,,59ea6c0bbc04a609f600239b,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:14:55.122Z
,"Hi ThinEi,

Welcome to this course, hope you enjoy it, good luck!",9080860,0,0,0,0,,,59eda420bc04a60a28002440,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:12:35.107Z
,"HI Joseph, welcome to the course. Hope you like it.",9081915,0,0,0,0,,,59ea51cabc04a609fe00241a,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:06:58.977Z
,"Hi Laura, welcome to the course. Happy learning.",9081915,0,0,0,0,,,59ea4fe0bc04a60a2f0022d9,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:05:22.204Z
,"Hi Umar, Hope you can learn a lot from it. You maybe also interest in [DAT205x][1] and [DAT206x][2]. Happy learning.


  [1]: http://Introduction%20to%20Data%20Analysis%20using%20Excel
  [2]: https://courses.edx.org/courses/course-v1:cMicrosoft+DAT206x+4T2017/course/",9081915,0,0,0,0,,,59ea4ecf50ef2209f6002334,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:04:33.785Z
,"Hi psdvaikom,

Welcome to this course, hope you enjoy it!",9080860,0,0,0,0,,,59eb446d50ef220a190022ef,Microsoft+DAT222x+4T2017,Comment,2017-10-23T09:00:51.589Z
,"Hi all, thanks for taking part in the course. Hope you enjoy it.",9081915,0,0,0,0,,59ea4f5f4ed74909ca002347,59ea483d4ed7490a00002376,Microsoft+DAT222x+4T2017,Comment,2017-10-23T08:55:53.897Z
,"Hi Dan_Ram,

Please go to ""[Course >  Introduction >  Download Course Files  > Download Files Needed for Pre-Test, Module Quizzes, and Final Exam][1]"" , it is in Module 1 Quiz Files, download the ZIP file and unpack it to a location easy to remember, like below:
![dsds][2]


  [1]: https://courses.edx.org/courses/course-v1:Microsoft+DAT222x+4T2017/courseware/1b9b2e193ca94949af4f7fac2cd224ee/c9bab3900a394d0e8f5a120be7283a29/
  [2]: https://edxuploads.s3.amazonaws.com/15087484124855676.png",9080860,0,0,0,0,,,59eb52684ed74909c70023d7,Microsoft+DAT222x+4T2017,Comment,2017-10-23T08:47:01.326Z
,"Hi malakmamdouh49, nice to meet you. Happy learning.",9081915,0,0,0,0,,,59ea47a650ef220a0200233d,Microsoft+DAT222x+4T2017,Comment,2017-10-23T08:44:23.253Z
introduce myself ,"Hi , I am Ebrahim from Yemen , i welcoming every body here ",13323374,0,0,0,0,2.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T02:57:38.534Z
M3L4HW3,"In a group of 100 mutual funds, what is the probability that at least 10 funds will beat the Standard and PoorΓÇÖs 500 Stock Index during at least 8 out of 10 years?

CAn anyone help me to solve this problem? I did not understand the solution provided by edx.",15461985,0,0,0,0,2.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-13T03:33:54.666Z
I don't understand how to figure out question two,I'm just not understanding from the lecture how to put the pieces together to answer this question. Can someone tell me the steps?,13683305,0,0,0,0,4.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-02T07:10:45.648Z
Hello,"Hi, I am Adam from Tanzania and am really looking forward to learning alot from this course.I have studied Data Management and looking further to advance myself in this field.",16581631,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-10-27T06:06:03.251Z
question M4L6HW4 -- No C8:D8 in  JulyBlythHW.xlsx ,"The question states: 
M4L6HW4
1/1 point (graded)
Be sure to use the JulyBlythHW.xlsx file for this problem.

A hospital ER saw 250 patients and none contracted a hospital induced infection. You are 95% sure that the actual fraction of ER patients that will contract a hospital induced infection is between _____ and ____.





The Explanation states 
Put .05 and 250 in the JulyBlythHW.xlsx spreadsheet and read answer from range C8:D8.

**** However, there is no C8:D8 in  JulyBlythHW.xlsx ",15454311,0,0,0,0,4.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-15T01:08:07.090Z
Hello,I love Statistics. I am so glad with this course. Thanks.,16578621,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-10-27T01:28:14.775Z
"Apparent error in handout on Samplin, sampling distributions....","On Page 5 of this 12-page handout it says that the variance of the mean is:
![equation for variance of xbar][1]

The parentheses are misplaced. It should be:
var(xbar) = var(x1)/n^2 + var(x2)/n^2 + var(xn)^/n^2



  [1]: https://edxuploads.s3.amazonaws.com/1509048710661343.png",9459874,0,0,0,0,3.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-03T01:43:28.901Z
hello,"Hi, I am Divyanshu. I am currently working as a COBOL developer looking for transition to data Analytics",15301857,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-10-27T01:31:03.027Z
Hello,I am happy to join the course and learn a bit more about statistics.,16576329,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-10-27T01:31:21.659Z
module 5 quiz is looooong!,how many questions are on the Module 5 quiz?! I am now on question 32 and it goes on forever and ever! many questions are similar with only small changes in the statistic parameters and sample sizes so its not only long but boring.,15229757,0,0,0,0,6.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-11-16T03:15:15.109Z
self intro,"greetings to all,

I am dinesh kumar from india. i hope this course would more use full in my future.

thank you",16568020,0,0,0,0,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-10-27T01:31:45.166Z
M1L3HW2 ,I don't know how to use Excel to calculate the daily percentage returns for the Dow Index . Is there anybody show me the operation steps?,16524953,1,0,1,1,1.0,,,Microsoft+DAT222x+4T2017,CommentThread,2017-10-30T07:14:05.753Z
,Ok.  So you just said that 55 would not be in either bin so all the data points at the edges of the bins are not included in the histogram?!  Now I'm really confused.,14237707,0,0,0,0,,59f0a58850ef2209fc00271a,59efe8d54ed74909c70026c8,Microsoft+DAT222x+4T2017,Comment,2017-10-25T15:11:00.440Z
,"Hi, for which question you need help",12639383,0,0,0,0,,,59f07524bc04a60a28002657,Microsoft+DAT222x+4T2017,Comment,2017-10-25T15:10:39.249Z
